vertices 15
0 0 1 1 1 0 0 0 0 0 0 0 0 
1 1 1 1 1 1 0 0 0 0 0 0 0 
2 3 1 1 1 1 1 0 0 0 0 0 0 
3 7 1 1 1 1 1 1 0 0 0 0 0 
4 15 1 1 1 1 1 1 1 0 0 0 0 
5 23 1 1 1 1 1 1 0 1 0 0 0 
6 27 1 1 1 1 1 1 0 0 1 0 0 
7 29 1 1 1 1 1 1 0 0 0 1 0 
8 31 1 4 4 1 1 1 1 1 0 0 0 
9 61 0 2 0 1 1 1 0 1 0 1 0 
10 63 1 6 4 1 1 1 1 1 1 0 0 
11 119 0 6 0 1 1 1 1 1 0 0 1 
12 126 0 2 0 1 1 1 0 1 0 1 1 
13 127 1 14 4 1 1 1 1 1 1 1 0 
14 255 1 14 4 1 1 1 1 1 1 1 1 
edges 22 
0 1 1 
1 2 1 
2 3 1 
3 4 1 
3 5 1 
3 6 1 
3 7 1 
4 8 1 
5 8 1 
5 9 0 
6 8 1 
7 8 1 
7 9 0 
8 10 1 
8 11 0 
9 10 0 
9 11 0 
9 12 0 
10 13 1 
11 13 0 
12 13 0 
13 14 1 
