vertices 29
0 0 1 1 1 0 0 0 0 0 0 0 0 
1 1 1 1 1 1 0 0 0 0 0 0 0 
2 2 1 1 1 0 2 0 0 0 0 0 0 
3 3 1 2 2 1 2 0 0 0 0 0 0 
4 6 1 1 1 0 2 2 0 0 0 0 0 
5 7 1 3 3 1 2 2 0 0 0 0 0 
6 19 1 2 2 1 2 0 0 1 0 0 0 
7 22 1 3 3 1 2 0 0 0 0 0 2 
8 14 0 1 0 0 2 2 2 0 0 0 0 
9 15 1 4 3 1 2 2 2 0 0 0 0 
10 23 1 8 8 1 2 2 0 1 0 0 0 
11 27 1 5 5 1 2 2 0 0 1 0 0 
12 29 1 8 8 1 2 2 0 0 0 1 0 
13 30 0 7 0 1 2 2 0 0 0 0 2 
14 51 1 2 2 1 2 0 0 1 1 0 0 
15 60 1 3 3 1 2 0 0 0 0 1 2 
16 142 0 1 0 0 2 2 2 0 0 0 2 
17 31 1 32 24 1 2 2 2 1 0 0 0 
18 143 0 12 0 1 2 2 2 0 0 0 2 
19 55 1 23 23 1 2 2 0 1 1 0 0 
20 61 1 19 19 1 2 2 0 1 0 1 0 
21 62 0 26 0 1 2 2 0 1 0 0 2 
22 63 1 100 66 1 2 2 2 1 1 0 0 
23 159 0 70 0 1 2 2 2 1 0 0 2 
24 119 1 42 42 1 2 2 0 1 1 1 0 
25 126 0 45 0 1 2 2 0 1 0 1 2 
26 127 1 187 108 1 2 2 2 1 1 1 0 
27 191 1 215 66 1 2 2 2 1 1 0 2 
28 255 1 402 174 1 2 2 2 1 1 1 2 
edges 65 
0 1 1 
0 2 1 
1 3 1 
2 3 1 
2 4 1 
3 5 1 
3 6 1 
3 7 1 
4 5 1 
4 8 0 
4 7 1 
5 9 1 
5 10 1 
5 11 1 
5 12 1 
5 13 0 
6 10 1 
6 11 1 
6 14 1 
6 12 1 
7 13 0 
7 12 1 
7 10 1 
7 15 1 
8 9 0 
8 13 0 
8 16 0 
9 17 1 
9 18 0 
10 17 1 
10 19 1 
10 20 1 
10 21 0 
11 17 1 
11 19 1 
12 17 1 
12 20 1 
12 19 1 
12 21 0 
13 18 0 
13 21 0 
13 17 0 
14 19 1 
15 21 0 
15 20 1 
16 18 0 
17 22 1 
17 23 0 
18 23 0 
19 22 1 
19 24 1 
20 22 1 
20 24 1 
20 25 0 
21 23 0 
21 22 0 
21 25 0 
22 26 1 
22 27 1 
23 27 0 
24 26 1 
25 27 0 
25 26 0 
26 28 1 
27 28 1 
